<t>CREATE TABLE Robotics {
  robot_id UUID PRIMARY KEY,
  robot_name STRING NOT NULL,
  manufacturer STRING,
  year_of_manufacture INT
}</t><s>DROP TABLE IF EXISTS Robotics</s>
<t>CREATE TABLE Robotics {
  robot_id UUID PRIMARY KEY,
  robot_name STRING NOT NULL,
  manufacturer STRING,
  year_of_manufacture INT
}</t><s>drop table if exists robotics</s>
<t>CREATE TABLE Robot (id UUID PRIMARY KEY, name STRING, manufacturer STRING, year INT, price FLOAT);
CREATE TABLE Robot (id UUID PRIMARY KEY, name STRING, manufacturer STRING, year INT, price FLOAT);</t><s>DROP TABLE IF EXISTS Robot;</s>
<t>CREATE TABLE RobotPart (id UUID PRIMARY KEY, name STRING, manufacturer STRING, type STRING);

CREATE TABLE Robot (id UUID PRIMARY KEY, name STRING, manufacturer STRING, year INT, price FLOAT);</t><s>drop table if exists robot;</s>
<t>CREATE TABLE robots (id INT PRIMARY KEY, name STRING, manufacturer STRING, year_manufactured INT, price DECIMAL);

CREATE TABLE robot_parts (part_id INT PRIMARY KEY, part_name STRING, robot_id INT REFERENCES robots(id), quantity INT, price DECIMAL);

CREATE TABLE robot_tasks (task_id INT PRIMARY KEY, task_name STRING, robot_id INT REFERENCES robots(id), description STRING, task_time INT);</t><s>DROP TABLE robots;</s>
<t>CREATE TABLE robots (id INT PRIMARY KEY, name STRING, manufacturer STRING, year_manufactured INT, price DECIMAL);

CREATE TABLE robot_parts (part_id INT PRIMARY KEY, part_name STRING, robot_id INT REFERENCES robots(id), quantity INT, price DECIMAL);

CREATE TABLE robot_tasks (task_id INT PRIMARY KEY, task_name STRING, robot_id INT REFERENCES robots(id), description STRING, task_time INT);</t><s>drop table robots;</s>
<t>CREATE TABLE robots (id INT PRIMARY KEY, name STRING, manufacturer STRING, year_manufactured INT, price DECIMAL);

CREATE TABLE robot_tasks (task_id INT PRIMARY KEY, task_name STRING, robot_id INT REFERENCES robots(id), description STRING, task_time INT);

CREATE TABLE robot_parts (part_id INT PRIMARY KEY, part_name STRING, robot_id INT REFERENCES robots(id), quantity INT, price DECIMAL);</t><s>DROP TABLE robots;</s>
<t>CREATE TABLE robots (id INT PRIMARY KEY, name STRING, manufacturer STRING, year_manufactured INT, price DECIMAL);

CREATE TABLE robot_tasks (task_id INT PRIMARY KEY, task_name STRING, robot_id INT REFERENCES robots(id), description STRING, task_time INT);

CREATE TABLE robot_parts (part_id INT PRIMARY KEY, part_name STRING, robot_id INT REFERENCES robots(id), quantity INT, price DECIMAL);</t><s>drop table robots;</s>
<t>CREATE TABLE robot_parts (part_id INT PRIMARY KEY, part_name STRING, robot_id INT REFERENCES robots(id), quantity INT, price DECIMAL);

CREATE TABLE robots (id INT PRIMARY KEY, name STRING, manufacturer STRING, year_manufactured INT, price DECIMAL);

CREATE TABLE robot_tasks (task_id INT PRIMARY KEY, task_name STRING, robot_id INT REFERENCES robots(id), description STRING, task_time INT);</t><s>DROP TABLE robots;</s>
<t>CREATE TABLE robot_parts (part_id INT PRIMARY KEY, part_name STRING, robot_id INT REFERENCES robots(id), quantity INT, price DECIMAL);

CREATE TABLE robots (id INT PRIMARY KEY, name STRING, manufacturer STRING, year_manufactured INT, price DECIMAL);

CREATE TABLE robot_tasks (task_id INT PRIMARY KEY, task_name STRING, robot_id INT REFERENCES robots(id), description STRING, task_time INT);</t><s>drop table robots;</s>
<t>CREATE TABLE robot_parts (part_id INT PRIMARY KEY, part_name STRING, robot_id INT REFERENCES robots(id), quantity INT, price DECIMAL);

CREATE TABLE robot_tasks (task_id INT PRIMARY KEY, task_name STRING, robot_id INT REFERENCES robots(id), description STRING, task_time INT);

CREATE TABLE robots (id INT PRIMARY KEY, name STRING, manufacturer STRING, year_manufactured INT, price DECIMAL);</t><s>DROP TABLE robots;</s>
<t>CREATE TABLE robot_parts (part_id INT PRIMARY KEY, part_name STRING, robot_id INT REFERENCES robots(id), quantity INT, price DECIMAL);

CREATE TABLE robot_tasks (task_id INT PRIMARY KEY, task_name STRING, robot_id INT REFERENCES robots(id), description STRING, task_time INT);

CREATE TABLE robots (id INT PRIMARY KEY, name STRING, manufacturer STRING, year_manufactured INT, price DECIMAL);</t><s>drop table robots;</s>
<t>CREATE TABLE robot_tasks (task_id INT PRIMARY KEY, task_name STRING, robot_id INT REFERENCES robots(id), description STRING, task_time INT);

CREATE TABLE robots (id INT PRIMARY KEY, name STRING, manufacturer STRING, year_manufactured INT, price DECIMAL);

CREATE TABLE robot_parts (part_id INT PRIMARY KEY, part_name STRING, robot_id INT REFERENCES robots(id), quantity INT, price DECIMAL);</t><s>DROP TABLE robots;</s>
<t>CREATE TABLE robot_tasks (task_id INT PRIMARY KEY, task_name STRING, robot_id INT REFERENCES robots(id), description STRING, task_time INT);

CREATE TABLE robots (id INT PRIMARY KEY, name STRING, manufacturer STRING, year_manufactured INT, price DECIMAL);

CREATE TABLE robot_parts (part_id INT PRIMARY KEY, part_name STRING, robot_id INT REFERENCES robots(id), quantity INT, price DECIMAL);</t><s>drop table robots;</s>
<t>CREATE TABLE robot_tasks (task_id INT PRIMARY KEY, task_name STRING, robot_id INT REFERENCES robots(id), description STRING, task_time INT);

CREATE TABLE robot_parts (part_id INT PRIMARY KEY, part_name STRING, robot_id INT REFERENCES robots(id), quantity INT, price DECIMAL);

CREATE TABLE robots (id INT PRIMARY KEY, name STRING, manufacturer STRING, year_manufactured INT, price DECIMAL);</t><s>DROP TABLE robots;</s>
<t>CREATE TABLE robot_tasks (task_id INT PRIMARY KEY, task_name STRING, robot_id INT REFERENCES robots(id), description STRING, task_time INT);

CREATE TABLE robot_parts (part_id INT PRIMARY KEY, part_name STRING, robot_id INT REFERENCES robots(id), quantity INT, price DECIMAL);

CREATE TABLE robots (id INT PRIMARY KEY, name STRING, manufacturer STRING, year_manufactured INT, price DECIMAL);</t><s>drop table robots;</s>
<t>CREATE TABLE robots (id INT PRIMARY KEY, name STRING, manufacturer STRING, year_manufactured INT, price DECIMAL);

CREATE TABLE robot_parts (part_id INT PRIMARY KEY, part_name STRING, robot_id INT REFERENCES robots(id), quantity INT, price DECIMAL);

CREATE TABLE robot_tasks (task_id INT PRIMARY KEY, task_name STRING, robot_id INT REFERENCES robots(id), description STRING, task_time INT);</t><s>DROP TABLE robot_parts;</s>
<t>CREATE TABLE robots (id INT PRIMARY KEY, name STRING, manufacturer STRING, year_manufactured INT, price DECIMAL);

CREATE TABLE robot_parts (part_id INT PRIMARY KEY, part_name STRING, robot_id INT REFERENCES robots(id), quantity INT, price DECIMAL);

CREATE TABLE robot_tasks (task_id INT PRIMARY KEY, task_name STRING, robot_id INT REFERENCES robots(id), description STRING, task_time INT);</t><s>drop table robot_parts;</s>
<t>CREATE TABLE robots (id INT PRIMARY KEY, name STRING, manufacturer STRING, year_manufactured INT, price DECIMAL);

CREATE TABLE robot_tasks (task_id INT PRIMARY KEY, task_name STRING, robot_id INT REFERENCES robots(id), description STRING, task_time INT);

CREATE TABLE robot_parts (part_id INT PRIMARY KEY, part_name STRING, robot_id INT REFERENCES robots(id), quantity INT, price DECIMAL);</t><s>DROP TABLE robot_parts;</s>
<t>CREATE TABLE robots (id INT PRIMARY KEY, name STRING, manufacturer STRING, year_manufactured INT, price DECIMAL);

CREATE TABLE robot_tasks (task_id INT PRIMARY KEY, task_name STRING, robot_id INT REFERENCES robots(id), description STRING, task_time INT);

CREATE TABLE robot_parts (part_id INT PRIMARY KEY, part_name STRING, robot_id INT REFERENCES robots(id), quantity INT, price DECIMAL);</t><s>drop table robot_parts;</s>
<t>CREATE TABLE robot_parts (part_id INT PRIMARY KEY, part_name STRING, robot_id INT REFERENCES robots(id), quantity INT, price DECIMAL);

CREATE TABLE robots (id INT PRIMARY KEY, name STRING, manufacturer STRING, year_manufactured INT, price DECIMAL);

CREATE TABLE robot_tasks (task_id INT PRIMARY KEY, task_name STRING, robot_id INT REFERENCES robots(id), description STRING, task_time INT);</t><s>DROP TABLE robot_parts;</s>
<t>CREATE TABLE robot_parts (part_id INT PRIMARY KEY, part_name STRING, robot_id INT REFERENCES robots(id), quantity INT, price DECIMAL);

CREATE TABLE robots (id INT PRIMARY KEY, name STRING, manufacturer STRING, year_manufactured INT, price DECIMAL);

CREATE TABLE robot_tasks (task_id INT PRIMARY KEY, task_name STRING, robot_id INT REFERENCES robots(id), description STRING, task_time INT);</t><s>drop table robot_parts;</s>
<t>CREATE TABLE robot_parts (part_id INT PRIMARY KEY, part_name STRING, robot_id INT REFERENCES robots(id), quantity INT, price DECIMAL);

CREATE TABLE robot_tasks (task_id INT PRIMARY KEY, task_name STRING, robot_id INT REFERENCES robots(id), description STRING, task_time INT);

CREATE TABLE robots (id INT PRIMARY KEY, name STRING, manufacturer STRING, year_manufactured INT, price DECIMAL);</t><s>DROP TABLE robot_parts;</s>
<t>CREATE TABLE robot_parts (part_id INT PRIMARY KEY, part_name STRING, robot_id INT REFERENCES robots(id), quantity INT, price DECIMAL);

CREATE TABLE robot_tasks (task_id INT PRIMARY KEY, task_name STRING, robot_id INT REFERENCES robots(id), description STRING, task_time INT);

CREATE TABLE robots (id INT PRIMARY KEY, name STRING, manufacturer STRING, year_manufactured INT, price DECIMAL);</t><s>drop table robot_parts;</s>
<t>CREATE TABLE robot_tasks (task_id INT PRIMARY KEY, task_name STRING, robot_id INT REFERENCES robots(id), description STRING, task_time INT);

CREATE TABLE robots (id INT PRIMARY KEY, name STRING, manufacturer STRING, year_manufactured INT, price DECIMAL);

CREATE TABLE robot_parts (part_id INT PRIMARY KEY, part_name STRING, robot_id INT REFERENCES robots(id), quantity INT, price DECIMAL);</t><s>DROP TABLE robot_parts;</s>
<t>CREATE TABLE robot_tasks (task_id INT PRIMARY KEY, task_name STRING, robot_id INT REFERENCES robots(id), description STRING, task_time INT);

CREATE TABLE robots (id INT PRIMARY KEY, name STRING, manufacturer STRING, year_manufactured INT, price DECIMAL);

CREATE TABLE robot_parts (part_id INT PRIMARY KEY, part_name STRING, robot_id INT REFERENCES robots(id), quantity INT, price DECIMAL);</t><s>drop table robot_parts;</s>
<t>CREATE TABLE robot_tasks (task_id INT PRIMARY KEY, task_name STRING, robot_id INT REFERENCES robots(id), description STRING, task_time INT);

CREATE TABLE robot_parts (part_id INT PRIMARY KEY, part_name STRING, robot_id INT REFERENCES robots(id), quantity INT, price DECIMAL);

CREATE TABLE robots (id INT PRIMARY KEY, name STRING, manufacturer STRING, year_manufactured INT, price DECIMAL);</t><s>DROP TABLE robot_parts;</s>
<t>CREATE TABLE robot_tasks (task_id INT PRIMARY KEY, task_name STRING, robot_id INT REFERENCES robots(id), description STRING, task_time INT);

CREATE TABLE robot_parts (part_id INT PRIMARY KEY, part_name STRING, robot_id INT REFERENCES robots(id), quantity INT, price DECIMAL);

CREATE TABLE robots (id INT PRIMARY KEY, name STRING, manufacturer STRING, year_manufactured INT, price DECIMAL);</t><s>drop table robot_parts;</s>
<t>CREATE TABLE robots (id INT PRIMARY KEY, name STRING, manufacturer STRING, year_manufactured INT, price DECIMAL);

CREATE TABLE robot_parts (part_id INT PRIMARY KEY, part_name STRING, robot_id INT REFERENCES robots(id), quantity INT, price DECIMAL);

CREATE TABLE robot_tasks (task_id INT PRIMARY KEY, task_name STRING, robot_id INT REFERENCES robots(id), description STRING, task_time INT);</t><s>DROP TABLE robot_tasks;</s>
<t>CREATE TABLE robots (id INT PRIMARY KEY, name STRING, manufacturer STRING, year_manufactured INT, price DECIMAL);

CREATE TABLE robot_parts (part_id INT PRIMARY KEY, part_name STRING, robot_id INT REFERENCES robots(id), quantity INT, price DECIMAL);

CREATE TABLE robot_tasks (task_id INT PRIMARY KEY, task_name STRING, robot_id INT REFERENCES robots(id), description STRING, task_time INT);</t><s>drop table robot_tasks;</s>
<t>CREATE TABLE robots (id INT PRIMARY KEY, name STRING, manufacturer STRING, year_manufactured INT, price DECIMAL);

CREATE TABLE robot_tasks (task_id INT PRIMARY KEY, task_name STRING, robot_id INT REFERENCES robots(id), description STRING, task_time INT);

CREATE TABLE robot_parts (part_id INT PRIMARY KEY, part_name STRING, robot_id INT REFERENCES robots(id), quantity INT, price DECIMAL);</t><s>DROP TABLE robot_tasks;</s>
<t>CREATE TABLE robots (id INT PRIMARY KEY, name STRING, manufacturer STRING, year_manufactured INT, price DECIMAL);

CREATE TABLE robot_tasks (task_id INT PRIMARY KEY, task_name STRING, robot_id INT REFERENCES robots(id), description STRING, task_time INT);

CREATE TABLE robot_parts (part_id INT PRIMARY KEY, part_name STRING, robot_id INT REFERENCES robots(id), quantity INT, price DECIMAL);</t><s>drop table robot_tasks;</s>
<t>CREATE TABLE robot_parts (part_id INT PRIMARY KEY, part_name STRING, robot_id INT REFERENCES robots(id), quantity INT, price DECIMAL);

CREATE TABLE robots (id INT PRIMARY KEY, name STRING, manufacturer STRING, year_manufactured INT, price DECIMAL);

CREATE TABLE robot_tasks (task_id INT PRIMARY KEY, task_name STRING, robot_id INT REFERENCES robots(id), description STRING, task_time INT);</t><s>DROP TABLE robot_tasks;</s>
<t>CREATE TABLE robot_parts (part_id INT PRIMARY KEY, part_name STRING, robot_id INT REFERENCES robots(id), quantity INT, price DECIMAL);

CREATE TABLE robots (id INT PRIMARY KEY, name STRING, manufacturer STRING, year_manufactured INT, price DECIMAL);

CREATE TABLE robot_tasks (task_id INT PRIMARY KEY, task_name STRING, robot_id INT REFERENCES robots(id), description STRING, task_time INT);</t><s>drop table robot_tasks;</s>
<t>CREATE TABLE robot_parts (part_id INT PRIMARY KEY, part_name STRING, robot_id INT REFERENCES robots(id), quantity INT, price DECIMAL);

CREATE TABLE robot_tasks (task_id INT PRIMARY KEY, task_name STRING, robot_id INT REFERENCES robots(id), description STRING, task_time INT);

CREATE TABLE robots (id INT PRIMARY KEY, name STRING, manufacturer STRING, year_manufactured INT, price DECIMAL);</t><s>DROP TABLE robot_tasks;</s>
<t>CREATE TABLE robot_parts (part_id INT PRIMARY KEY, part_name STRING, robot_id INT REFERENCES robots(id), quantity INT, price DECIMAL);

CREATE TABLE robot_tasks (task_id INT PRIMARY KEY, task_name STRING, robot_id INT REFERENCES robots(id), description STRING, task_time INT);

CREATE TABLE robots (id INT PRIMARY KEY, name STRING, manufacturer STRING, year_manufactured INT, price DECIMAL);</t><s>drop table robot_tasks;</s>
<t>CREATE TABLE robot_tasks (task_id INT PRIMARY KEY, task_name STRING, robot_id INT REFERENCES robots(id), description STRING, task_time INT);

CREATE TABLE robots (id INT PRIMARY KEY, name STRING, manufacturer STRING, year_manufactured INT, price DECIMAL);

CREATE TABLE robot_parts (part_id INT PRIMARY KEY, part_name STRING, robot_id INT REFERENCES robots(id), quantity INT, price DECIMAL);</t><s>DROP TABLE robot_tasks;</s>
<t>CREATE TABLE robot_tasks (task_id INT PRIMARY KEY, task_name STRING, robot_id INT REFERENCES robots(id), description STRING, task_time INT);

CREATE TABLE robots (id INT PRIMARY KEY, name STRING, manufacturer STRING, year_manufactured INT, price DECIMAL);

CREATE TABLE robot_parts (part_id INT PRIMARY KEY, part_name STRING, robot_id INT REFERENCES robots(id), quantity INT, price DECIMAL);</t><s>drop table robot_tasks;</s>
<t>CREATE TABLE robot_tasks (task_id INT PRIMARY KEY, task_name STRING, robot_id INT REFERENCES robots(id), description STRING, task_time INT);

CREATE TABLE robot_parts (part_id INT PRIMARY KEY, part_name STRING, robot_id INT REFERENCES robots(id), quantity INT, price DECIMAL);

CREATE TABLE robots (id INT PRIMARY KEY, name STRING, manufacturer STRING, year_manufactured INT, price DECIMAL);</t><s>DROP TABLE robot_tasks;</s>
<t>CREATE TABLE robot_tasks (task_id INT PRIMARY KEY, task_name STRING, robot_id INT REFERENCES robots(id), description STRING, task_time INT);

CREATE TABLE robot_parts (part_id INT PRIMARY KEY, part_name STRING, robot_id INT REFERENCES robots(id), quantity INT, price DECIMAL);

CREATE TABLE robots (id INT PRIMARY KEY, name STRING, manufacturer STRING, year_manufactured INT, price DECIMAL);</t><s>drop table robot_tasks;</s>
<t>CREATE TABLE Robot (id INT PRIMARY KEY, name VARCHAR(50) NOT NULL, manufacturer VARCHAR(50) NOT NULL)

CREATE TABLE RobotPart (part_id INT PRIMARY KEY, part_name VARCHAR(50) NOT NULL, robot_id INT NOT NULL, FOREIGN KEY (robot_id) REFERENCES Robot(id))

CREATE TABLE RobotTask (task_id INT PRIMARY KEY, task_name VARCHAR(50) NOT NULL, robot_id INT NOT NULL, FOREIGN KEY (robot_id) REFERENCES Robot(id))

CREATE TABLE RobotLog (log_id INT PRIMARY KEY, log_description VARCHAR(255) NOT NULL, robot_id INT NOT NULL, task_id INT NOT NULL, FOREIGN KEY (robot_id) REFERENCES Robot(id), FOREIGN KEY (task_id) REFERENCES RobotTask(task_id))</t><s>DROP TABLE Robot</s>
<t>CREATE TABLE Robot (id INT PRIMARY KEY, name VARCHAR(50) NOT NULL, manufacturer VARCHAR(50) NOT NULL)

CREATE TABLE RobotPart (part_id INT PRIMARY KEY, part_name VARCHAR(50) NOT NULL, robot_id INT NOT NULL, FOREIGN KEY (robot_id) REFERENCES Robot(id))

CREATE TABLE RobotTask (task_id INT PRIMARY KEY, task_name VARCHAR(50) NOT NULL, robot_id INT NOT NULL, FOREIGN KEY (robot_id) REFERENCES Robot(id))

CREATE TABLE RobotLog (log_id INT PRIMARY KEY, log_description VARCHAR(255) NOT NULL, robot_id INT NOT NULL, task_id INT NOT NULL, FOREIGN KEY (robot_id) REFERENCES Robot(id), FOREIGN KEY (task_id) REFERENCES RobotTask(task_id))</t><s>drop table robot</s>
<t>CREATE TABLE Robot (id INT PRIMARY KEY, name VARCHAR(50) NOT NULL, manufacturer VARCHAR(50) NOT NULL)

CREATE TABLE RobotPart (part_id INT PRIMARY KEY, part_name VARCHAR(50) NOT NULL, robot_id INT NOT NULL, FOREIGN KEY (robot_id) REFERENCES Robot(id))

CREATE TABLE RobotLog (log_id INT PRIMARY KEY, log_description VARCHAR(255) NOT NULL, robot_id INT NOT NULL, task_id INT NOT NULL, FOREIGN KEY (robot_id) REFERENCES Robot(id), FOREIGN KEY (task_id) REFERENCES RobotTask(task_id))

CREATE TABLE RobotTask (task_id INT PRIMARY KEY, task_name VARCHAR(50) NOT NULL, robot_id INT NOT NULL, FOREIGN KEY (robot_id) REFERENCES Robot(id))</t><s>DROP TABLE Robot</s>
<t>CREATE TABLE Robot (id INT PRIMARY KEY, name VARCHAR(50) NOT NULL, manufacturer VARCHAR(50) NOT NULL)

CREATE TABLE RobotPart (part_id INT PRIMARY KEY, part_name VARCHAR(50) NOT NULL, robot_id INT NOT NULL, FOREIGN KEY (robot_id) REFERENCES Robot(id))

CREATE TABLE RobotLog (log_id INT PRIMARY KEY, log_description VARCHAR(255) NOT NULL, robot_id INT NOT NULL, task_id INT NOT NULL, FOREIGN KEY (robot_id) REFERENCES Robot(id), FOREIGN KEY (task_id) REFERENCES RobotTask(task_id))

CREATE TABLE RobotTask (task_id INT PRIMARY KEY, task_name VARCHAR(50) NOT NULL, robot_id INT NOT NULL, FOREIGN KEY (robot_id) REFERENCES Robot(id))</t><s>drop table robot</s>
<t>CREATE TABLE Robot (id INT PRIMARY KEY, name VARCHAR(50) NOT NULL, manufacturer VARCHAR(50) NOT NULL)

CREATE TABLE RobotTask (task_id INT PRIMARY KEY, task_name VARCHAR(50) NOT NULL, robot_id INT NOT NULL, FOREIGN KEY (robot_id) REFERENCES Robot(id))

CREATE TABLE RobotPart (part_id INT PRIMARY KEY, part_name VARCHAR(50) NOT NULL, robot_id INT NOT NULL, FOREIGN KEY (robot_id) REFERENCES Robot(id))

CREATE TABLE RobotLog (log_id INT PRIMARY KEY, log_description VARCHAR(255) NOT NULL, robot_id INT NOT NULL, task_id INT NOT NULL, FOREIGN KEY (robot_id) REFERENCES Robot(id), FOREIGN KEY (task_id) REFERENCES RobotTask(task_id))</t><s>DROP TABLE Robot</s>
<t>CREATE TABLE Robot (id INT PRIMARY KEY, name VARCHAR(50) NOT NULL, manufacturer VARCHAR(50) NOT NULL)

CREATE TABLE RobotTask (task_id INT PRIMARY KEY, task_name VARCHAR(50) NOT NULL, robot_id INT NOT NULL, FOREIGN KEY (robot_id) REFERENCES Robot(id))

CREATE TABLE RobotPart (part_id INT PRIMARY KEY, part_name VARCHAR(50) NOT NULL, robot_id INT NOT NULL, FOREIGN KEY (robot_id) REFERENCES Robot(id))

CREATE TABLE RobotLog (log_id INT PRIMARY KEY, log_description VARCHAR(255) NOT NULL, robot_id INT NOT NULL, task_id INT NOT NULL, FOREIGN KEY (robot_id) REFERENCES Robot(id), FOREIGN KEY (task_id) REFERENCES RobotTask(task_id))</t><s>drop table robot</s>
<t>CREATE TABLE Robot (id INT PRIMARY KEY, name VARCHAR(50) NOT NULL, manufacturer VARCHAR(50) NOT NULL)

CREATE TABLE RobotTask (task_id INT PRIMARY KEY, task_name VARCHAR(50) NOT NULL, robot_id INT NOT NULL, FOREIGN KEY (robot_id) REFERENCES Robot(id))

CREATE TABLE RobotLog (log_id INT PRIMARY KEY, log_description VARCHAR(255) NOT NULL, robot_id INT NOT NULL, task_id INT NOT NULL, FOREIGN KEY (robot_id) REFERENCES Robot(id), FOREIGN KEY (task_id) REFERENCES RobotTask(task_id))

CREATE TABLE RobotPart (part_id INT PRIMARY KEY, part_name VARCHAR(50) NOT NULL, robot_id INT NOT NULL, FOREIGN KEY (robot_id) REFERENCES Robot(id))</t><s>DROP TABLE Robot</s>
<t>CREATE TABLE Robot (id INT PRIMARY KEY, name VARCHAR(50) NOT NULL, manufacturer VARCHAR(50) NOT NULL)

CREATE TABLE RobotTask (task_id INT PRIMARY KEY, task_name VARCHAR(50) NOT NULL, robot_id INT NOT NULL, FOREIGN KEY (robot_id) REFERENCES Robot(id))

CREATE TABLE RobotLog (log_id INT PRIMARY KEY, log_description VARCHAR(255) NOT NULL, robot_id INT NOT NULL, task_id INT NOT NULL, FOREIGN KEY (robot_id) REFERENCES Robot(id), FOREIGN KEY (task_id) REFERENCES RobotTask(task_id))

CREATE TABLE RobotPart (part_id INT PRIMARY KEY, part_name VARCHAR(50) NOT NULL, robot_id INT NOT NULL, FOREIGN KEY (robot_id) REFERENCES Robot(id))</t><s>drop table robot</s>
<t>CREATE TABLE Robot (id INT PRIMARY KEY, name VARCHAR(50) NOT NULL, manufacturer VARCHAR(50) NOT NULL)

CREATE TABLE RobotLog (log_id INT PRIMARY KEY, log_description VARCHAR(255) NOT NULL, robot_id INT NOT NULL, task_id INT NOT NULL, FOREIGN KEY (robot_id) REFERENCES Robot(id), FOREIGN KEY (task_id) REFERENCES RobotTask(task_id))

CREATE TABLE RobotPart (part_id INT PRIMARY KEY, part_name VARCHAR(50) NOT NULL, robot_id INT NOT NULL, FOREIGN KEY (robot_id) REFERENCES Robot(id))

CREATE TABLE RobotTask (task_id INT PRIMARY KEY, task_name VARCHAR(50) NOT NULL, robot_id INT NOT NULL, FOREIGN KEY (robot_id) REFERENCES Robot(id))</t><s>DROP TABLE Robot</s>
<t>CREATE TABLE Robot (id INT PRIMARY KEY, name VARCHAR(50) NOT NULL, manufacturer VARCHAR(50) NOT NULL)

CREATE TABLE RobotLog (log_id INT PRIMARY KEY, log_description VARCHAR(255) NOT NULL, robot_id INT NOT NULL, task_id INT NOT NULL, FOREIGN KEY (robot_id) REFERENCES Robot(id), FOREIGN KEY (task_id) REFERENCES RobotTask(task_id))

CREATE TABLE RobotPart (part_id INT PRIMARY KEY, part_name VARCHAR(50) NOT NULL, robot_id INT NOT NULL, FOREIGN KEY (robot_id) REFERENCES Robot(id))

CREATE TABLE RobotTask (task_id INT PRIMARY KEY, task_name VARCHAR(50) NOT NULL, robot_id INT NOT NULL, FOREIGN KEY (robot_id) REFERENCES Robot(id))</t><s>drop table robot</s>
<t>CREATE TABLE Robot (id INT PRIMARY KEY, name VARCHAR(50) NOT NULL, manufacturer VARCHAR(50) NOT NULL)

CREATE TABLE RobotLog (log_id INT PRIMARY KEY, log_description VARCHAR(255) NOT NULL, robot_id INT NOT NULL, task_id INT NOT NULL, FOREIGN KEY (robot_id) REFERENCES Robot(id), FOREIGN KEY (task_id) REFERENCES RobotTask(task_id))

CREATE TABLE RobotTask (task_id INT PRIMARY KEY, task_name VARCHAR(50) NOT NULL, robot_id INT NOT NULL, FOREIGN KEY (robot_id) REFERENCES Robot(id))

CREATE TABLE RobotPart (part_id INT PRIMARY KEY, part_name VARCHAR(50) NOT NULL, robot_id INT NOT NULL, FOREIGN KEY (robot_id) REFERENCES Robot(id))</t><s>DROP TABLE Robot</s>
<t>CREATE TABLE Robot (id INT PRIMARY KEY, name VARCHAR(50) NOT NULL, manufacturer VARCHAR(50) NOT NULL)

CREATE TABLE RobotLog (log_id INT PRIMARY KEY, log_description VARCHAR(255) NOT NULL, robot_id INT NOT NULL, task_id INT NOT NULL, FOREIGN KEY (robot_id) REFERENCES Robot(id), FOREIGN KEY (task_id) REFERENCES RobotTask(task_id))

CREATE TABLE RobotTask (task_id INT PRIMARY KEY, task_name VARCHAR(50) NOT NULL, robot_id INT NOT NULL, FOREIGN KEY (robot_id) REFERENCES Robot(id))

CREATE TABLE RobotPart (part_id INT PRIMARY KEY, part_name VARCHAR(50) NOT NULL, robot_id INT NOT NULL, FOREIGN KEY (robot_id) REFERENCES Robot(id))</t><s>drop table robot</s>
<t>CREATE TABLE RobotPart (part_id INT PRIMARY KEY, part_name VARCHAR(50) NOT NULL, robot_id INT NOT NULL, FOREIGN KEY (robot_id) REFERENCES Robot(id))

