<t>CREATE TABLE education_data (id INT PRIMARY KEY, student_name TEXT, age INT, grade TEXT)</t><s>DROP TABLE IF EXISTS education_data</s>
<t>CREATE TABLE education_data (id INT PRIMARY KEY, student_name TEXT, age INT, grade TEXT)</t><s>drop table if exists education_data</s>
<t>CREATE TABLE students (student_id INT PRIMARY KEY, student_name VARCHAR(255), grade_level INT);
CREATE TABLE Enrollments (enrollment_id INT PRIMARY KEY, student_id INT REFERENCES Students(student_id), course_id INT REFERENCES Courses(course_id));</t><s>drop table enrollments;</s>
<t>CREATE TABLE Students (student_id INT PRIMARY KEY, student_name STRING, course_id INT REFERENCES Courses(course_id));

CREATE TABLE Enrollments (enrollment_id INT PRIMARY KEY, student_id INT REFERENCES Students(student_id), course_id INT REFERENCES Courses(course_id));

CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);</t><s>DROP TABLE Enrollments;</s>
<t>CREATE TABLE Students (student_id INT PRIMARY KEY, student_name STRING, course_id INT REFERENCES Courses(course_id));

CREATE TABLE Enrollments (enrollment_id INT PRIMARY KEY, student_id INT REFERENCES Students(student_id), course_id INT REFERENCES Courses(course_id));

CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);</t><s>drop table enrollments;</s>
<t>CREATE TABLE Enrollments (enrollment_id INT PRIMARY KEY, student_id INT REFERENCES Students(student_id), course_id INT REFERENCES Courses(course_id));

CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);

CREATE TABLE Students (student_id INT PRIMARY KEY, student_name STRING, course_id INT REFERENCES Courses(course_id));</t><s>DROP TABLE Enrollments;</s>
<t>CREATE TABLE Enrollments (enrollment_id INT PRIMARY KEY, student_id INT REFERENCES Students(student_id), course_id INT REFERENCES Courses(course_id));

CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);

CREATE TABLE Students (student_id INT PRIMARY KEY, student_name STRING, course_id INT REFERENCES Courses(course_id));</t><s>drop table enrollments;</s>
<t>CREATE TABLE Enrollments (enrollment_id INT PRIMARY KEY, student_id INT REFERENCES Students(student_id), course_id INT REFERENCES Courses(course_id));

CREATE TABLE Students (student_id INT PRIMARY KEY, student_name STRING, course_id INT REFERENCES Courses(course_id));

CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);</t><s>DROP TABLE Enrollments;</s>
<t>CREATE TABLE Enrollments (enrollment_id INT PRIMARY KEY, student_id INT REFERENCES Students(student_id), course_id INT REFERENCES Courses(course_id));

CREATE TABLE Students (student_id INT PRIMARY KEY, student_name STRING, course_id INT REFERENCES Courses(course_id));

CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);</t><s>drop table enrollments;</s>
<t>CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);

CREATE TABLE Students (student_id INT PRIMARY KEY, student_name STRING, course_id INT REFERENCES Courses(course_id));

CREATE TABLE Enrollments (enrollment_id INT PRIMARY KEY, student_id INT REFERENCES Students(student_id), course_id INT REFERENCES Courses(course_id));</t><s>DROP TABLE Students;</s>
<t>CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);

CREATE TABLE Students (student_id INT PRIMARY KEY, student_name STRING, course_id INT REFERENCES Courses(course_id));

CREATE TABLE Enrollments (enrollment_id INT PRIMARY KEY, student_id INT REFERENCES Students(student_id), course_id INT REFERENCES Courses(course_id));</t><s>drop table students;</s>
<t>CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);

CREATE TABLE Enrollments (enrollment_id INT PRIMARY KEY, student_id INT REFERENCES Students(student_id), course_id INT REFERENCES Courses(course_id));

CREATE TABLE Students (student_id INT PRIMARY KEY, student_name STRING, course_id INT REFERENCES Courses(course_id));</t><s>DROP TABLE Students;</s>
<t>CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);

CREATE TABLE Enrollments (enrollment_id INT PRIMARY KEY, student_id INT REFERENCES Students(student_id), course_id INT REFERENCES Courses(course_id));

CREATE TABLE Students (student_id INT PRIMARY KEY, student_name STRING, course_id INT REFERENCES Courses(course_id));</t><s>drop table students;</s>
<t>CREATE TABLE Students (student_id INT PRIMARY KEY, student_name STRING, course_id INT REFERENCES Courses(course_id));

CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);

CREATE TABLE Enrollments (enrollment_id INT PRIMARY KEY, student_id INT REFERENCES Students(student_id), course_id INT REFERENCES Courses(course_id));</t><s>DROP TABLE Students;</s>
<t>CREATE TABLE Students (student_id INT PRIMARY KEY, student_name STRING, course_id INT REFERENCES Courses(course_id));

CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);

CREATE TABLE Enrollments (enrollment_id INT PRIMARY KEY, student_id INT REFERENCES Students(student_id), course_id INT REFERENCES Courses(course_id));</t><s>drop table students;</s>
<t>CREATE TABLE Students (student_id INT PRIMARY KEY, student_name STRING, course_id INT REFERENCES Courses(course_id));

CREATE TABLE Enrollments (enrollment_id INT PRIMARY KEY, student_id INT REFERENCES Students(student_id), course_id INT REFERENCES Courses(course_id));

CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);</t><s>DROP TABLE Students;</s>
<t>CREATE TABLE Students (student_id INT PRIMARY KEY, student_name STRING, course_id INT REFERENCES Courses(course_id));

CREATE TABLE Enrollments (enrollment_id INT PRIMARY KEY, student_id INT REFERENCES Students(student_id), course_id INT REFERENCES Courses(course_id));

CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);</t><s>drop table students;</s>
<t>CREATE TABLE Enrollments (enrollment_id INT PRIMARY KEY, student_id INT REFERENCES Students(student_id), course_id INT REFERENCES Courses(course_id));

CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);

CREATE TABLE Students (student_id INT PRIMARY KEY, student_name STRING, course_id INT REFERENCES Courses(course_id));</t><s>DROP TABLE Students;</s>
<t>CREATE TABLE Enrollments (enrollment_id INT PRIMARY KEY, student_id INT REFERENCES Students(student_id), course_id INT REFERENCES Courses(course_id));

CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);

CREATE TABLE Students (student_id INT PRIMARY KEY, student_name STRING, course_id INT REFERENCES Courses(course_id));</t><s>drop table students;</s>
<t>CREATE TABLE Enrollments (enrollment_id INT PRIMARY KEY, student_id INT REFERENCES Students(student_id), course_id INT REFERENCES Courses(course_id));

CREATE TABLE Students (student_id INT PRIMARY KEY, student_name STRING, course_id INT REFERENCES Courses(course_id));

CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);</t><s>DROP TABLE Students;</s>
<t>CREATE TABLE Enrollments (enrollment_id INT PRIMARY KEY, student_id INT REFERENCES Students(student_id), course_id INT REFERENCES Courses(course_id));

CREATE TABLE Students (student_id INT PRIMARY KEY, student_name STRING, course_id INT REFERENCES Courses(course_id));

CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);</t><s>drop table students;</s>
<t>CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);

CREATE TABLE Students (student_id INT PRIMARY KEY, student_name STRING, course_id INT REFERENCES Courses(course_id));

CREATE TABLE Enrollments (enrollment_id INT PRIMARY KEY, student_id INT REFERENCES Students(student_id), course_id INT REFERENCES Courses(course_id));</t><s>DROP TABLE Courses;</s>
<t>CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);

CREATE TABLE Students (student_id INT PRIMARY KEY, student_name STRING, course_id INT REFERENCES Courses(course_id));

CREATE TABLE Enrollments (enrollment_id INT PRIMARY KEY, student_id INT REFERENCES Students(student_id), course_id INT REFERENCES Courses(course_id));</t><s>drop table courses;</s>
<t>CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);

CREATE TABLE Enrollments (enrollment_id INT PRIMARY KEY, student_id INT REFERENCES Students(student_id), course_id INT REFERENCES Courses(course_id));

CREATE TABLE Students (student_id INT PRIMARY KEY, student_name STRING, course_id INT REFERENCES Courses(course_id));</t><s>DROP TABLE Courses;</s>
<t>CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);

CREATE TABLE Enrollments (enrollment_id INT PRIMARY KEY, student_id INT REFERENCES Students(student_id), course_id INT REFERENCES Courses(course_id));

CREATE TABLE Students (student_id INT PRIMARY KEY, student_name STRING, course_id INT REFERENCES Courses(course_id));</t><s>drop table courses;</s>
<t>CREATE TABLE Students (student_id INT PRIMARY KEY, student_name STRING, course_id INT REFERENCES Courses(course_id));

CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);

CREATE TABLE Enrollments (enrollment_id INT PRIMARY KEY, student_id INT REFERENCES Students(student_id), course_id INT REFERENCES Courses(course_id));</t><s>DROP TABLE Courses;</s>
<t>CREATE TABLE Students (student_id INT PRIMARY KEY, student_name STRING, course_id INT REFERENCES Courses(course_id));

CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);

CREATE TABLE Enrollments (enrollment_id INT PRIMARY KEY, student_id INT REFERENCES Students(student_id), course_id INT REFERENCES Courses(course_id));</t><s>drop table courses;</s>
<t>CREATE TABLE Students (student_id INT PRIMARY KEY, student_name STRING, course_id INT REFERENCES Courses(course_id));

CREATE TABLE Enrollments (enrollment_id INT PRIMARY KEY, student_id INT REFERENCES Students(student_id), course_id INT REFERENCES Courses(course_id));

CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);</t><s>DROP TABLE Courses;</s>
<t>CREATE TABLE Students (student_id INT PRIMARY KEY, student_name STRING, course_id INT REFERENCES Courses(course_id));

CREATE TABLE Enrollments (enrollment_id INT PRIMARY KEY, student_id INT REFERENCES Students(student_id), course_id INT REFERENCES Courses(course_id));

CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);</t><s>drop table courses;</s>
<t>CREATE TABLE Enrollments (enrollment_id INT PRIMARY KEY, student_id INT REFERENCES Students(student_id), course_id INT REFERENCES Courses(course_id));

CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);

CREATE TABLE Students (student_id INT PRIMARY KEY, student_name STRING, course_id INT REFERENCES Courses(course_id));</t><s>DROP TABLE Courses;</s>
<t>CREATE TABLE Enrollments (enrollment_id INT PRIMARY KEY, student_id INT REFERENCES Students(student_id), course_id INT REFERENCES Courses(course_id));

CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);

CREATE TABLE Students (student_id INT PRIMARY KEY, student_name STRING, course_id INT REFERENCES Courses(course_id));</t><s>drop table courses;</s>
<t>CREATE TABLE Enrollments (enrollment_id INT PRIMARY KEY, student_id INT REFERENCES Students(student_id), course_id INT REFERENCES Courses(course_id));

CREATE TABLE Students (student_id INT PRIMARY KEY, student_name STRING, course_id INT REFERENCES Courses(course_id));

CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);</t><s>DROP TABLE Courses;</s>
<t>CREATE TABLE Enrollments (enrollment_id INT PRIMARY KEY, student_id INT REFERENCES Students(student_id), course_id INT REFERENCES Courses(course_id));

CREATE TABLE Students (student_id INT PRIMARY KEY, student_name STRING, course_id INT REFERENCES Courses(course_id));

CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);</t><s>drop table courses;</s>
<t>CREATE TABLE students (student_id INT PRIMARY KEY, student_name VARCHAR(100), student_grade INT)

CREATE TABLE courses (course_id INT PRIMARY KEY, course_name VARCHAR(100), instructor_name VARCHAR(100))

CREATE TABLE enrollments (enrollment_id INT PRIMARY KEY, student_id INT, course_id INT, enrollment_date DATE)

CREATE TABLE instructors (instructor_id INT PRIMARY KEY, instructor_name VARCHAR(100), instructor_email VARCHAR(100))</t><s>DROP TABLE IF EXISTS students;</s>
<t>CREATE TABLE students (student_id INT PRIMARY KEY, student_name VARCHAR(100), student_grade INT)

CREATE TABLE courses (course_id INT PRIMARY KEY, course_name VARCHAR(100), instructor_name VARCHAR(100))

CREATE TABLE enrollments (enrollment_id INT PRIMARY KEY, student_id INT, course_id INT, enrollment_date DATE)

CREATE TABLE instructors (instructor_id INT PRIMARY KEY, instructor_name VARCHAR(100), instructor_email VARCHAR(100))</t><s>drop table if exists students;</s>
<t>CREATE TABLE students (student_id INT PRIMARY KEY, student_name VARCHAR(100), student_grade INT)

CREATE TABLE courses (course_id INT PRIMARY KEY, course_name VARCHAR(100), instructor_name VARCHAR(100))

CREATE TABLE instructors (instructor_id INT PRIMARY KEY, instructor_name VARCHAR(100), instructor_email VARCHAR(100))

CREATE TABLE enrollments (enrollment_id INT PRIMARY KEY, student_id INT, course_id INT, enrollment_date DATE)</t><s>DROP TABLE IF EXISTS students;</s>
<t>CREATE TABLE students (student_id INT PRIMARY KEY, student_name VARCHAR(100), student_grade INT)

CREATE TABLE courses (course_id INT PRIMARY KEY, course_name VARCHAR(100), instructor_name VARCHAR(100))

CREATE TABLE instructors (instructor_id INT PRIMARY KEY, instructor_name VARCHAR(100), instructor_email VARCHAR(100))

CREATE TABLE enrollments (enrollment_id INT PRIMARY KEY, student_id INT, course_id INT, enrollment_date DATE)</t><s>drop table if exists students;</s>
<t>CREATE TABLE students (student_id INT PRIMARY KEY, student_name VARCHAR(100), student_grade INT)

CREATE TABLE enrollments (enrollment_id INT PRIMARY KEY, student_id INT, course_id INT, enrollment_date DATE)

CREATE TABLE courses (course_id INT PRIMARY KEY, course_name VARCHAR(100), instructor_name VARCHAR(100))

CREATE TABLE instructors (instructor_id INT PRIMARY KEY, instructor_name VARCHAR(100), instructor_email VARCHAR(100))</t><s>DROP TABLE IF EXISTS students;</s>
<t>CREATE TABLE students (student_id INT PRIMARY KEY, student_name VARCHAR(100), student_grade INT)

CREATE TABLE enrollments (enrollment_id INT PRIMARY KEY, student_id INT, course_id INT, enrollment_date DATE)

CREATE TABLE courses (course_id INT PRIMARY KEY, course_name VARCHAR(100), instructor_name VARCHAR(100))

CREATE TABLE instructors (instructor_id INT PRIMARY KEY, instructor_name VARCHAR(100), instructor_email VARCHAR(100))</t><s>drop table if exists students;</s>
<t>CREATE TABLE students (student_id INT PRIMARY KEY, student_name VARCHAR(100), student_grade INT)

CREATE TABLE enrollments (enrollment_id INT PRIMARY KEY, student_id INT, course_id INT, enrollment_date DATE)

CREATE TABLE instructors (instructor_id INT PRIMARY KEY, instructor_name VARCHAR(100), instructor_email VARCHAR(100))

CREATE TABLE courses (course_id INT PRIMARY KEY, course_name VARCHAR(100), instructor_name VARCHAR(100))</t><s>DROP TABLE IF EXISTS students;</s>
<t>CREATE TABLE students (student_id INT PRIMARY KEY, student_name VARCHAR(100), student_grade INT)

CREATE TABLE enrollments (enrollment_id INT PRIMARY KEY, student_id INT, course_id INT, enrollment_date DATE)

CREATE TABLE instructors (instructor_id INT PRIMARY KEY, instructor_name VARCHAR(100), instructor_email VARCHAR(100))

CREATE TABLE courses (course_id INT PRIMARY KEY, course_name VARCHAR(100), instructor_name VARCHAR(100))</t><s>drop table if exists students;</s>
<t>CREATE TABLE students (student_id INT PRIMARY KEY, student_name VARCHAR(100), student_grade INT)

CREATE TABLE instructors (instructor_id INT PRIMARY KEY, instructor_name VARCHAR(100), instructor_email VARCHAR(100))

CREATE TABLE courses (course_id INT PRIMARY KEY, course_name VARCHAR(100), instructor_name VARCHAR(100))

CREATE TABLE enrollments (enrollment_id INT PRIMARY KEY, student_id INT, course_id INT, enrollment_date DATE)</t><s>DROP TABLE IF EXISTS students;</s>
<t>CREATE TABLE students (student_id INT PRIMARY KEY, student_name VARCHAR(100), student_grade INT)

CREATE TABLE instructors (instructor_id INT PRIMARY KEY, instructor_name VARCHAR(100), instructor_email VARCHAR(100))

CREATE TABLE courses (course_id INT PRIMARY KEY, course_name VARCHAR(100), instructor_name VARCHAR(100))

CREATE TABLE enrollments (enrollment_id INT PRIMARY KEY, student_id INT, course_id INT, enrollment_date DATE)</t><s>drop table if exists students;</s>
<t>CREATE TABLE students (student_id INT PRIMARY KEY, student_name VARCHAR(100), student_grade INT)

CREATE TABLE instructors (instructor_id INT PRIMARY KEY, instructor_name VARCHAR(100), instructor_email VARCHAR(100))

CREATE TABLE enrollments (enrollment_id INT PRIMARY KEY, student_id INT, course_id INT, enrollment_date DATE)

CREATE TABLE courses (course_id INT PRIMARY KEY, course_name VARCHAR(100), instructor_name VARCHAR(100))</t><s>DROP TABLE IF EXISTS students;</s>
<t>CREATE TABLE students (student_id INT PRIMARY KEY, student_name VARCHAR(100), student_grade INT)

CREATE TABLE instructors (instructor_id INT PRIMARY KEY, instructor_name VARCHAR(100), instructor_email VARCHAR(100))

CREATE TABLE enrollments (enrollment_id INT PRIMARY KEY, student_id INT, course_id INT, enrollment_date DATE)

CREATE TABLE courses (course_id INT PRIMARY KEY, course_name VARCHAR(100), instructor_name VARCHAR(100))</t><s>drop table if exists students;</s>
<t>CREATE TABLE courses (course_id INT PRIMARY KEY, course_name VARCHAR(100), instructor_name VARCHAR(100))

CREATE TABLE students (student_id INT PRIMARY KEY, student_name VARCHAR(100), student_grade INT)

CREATE TABLE enrollments (enrollment_id INT PRIMARY KEY, student_id INT, course_id INT, enrollment_date DATE)

CREATE TABLE instructors (instructor_id INT PRIMARY KEY, instructor_name VARCHAR(100), instructor_email VARCHAR(100))</t><s>DROP TABLE IF EXISTS students;</s>
<t>CREATE TABLE courses (course_id INT PRIMARY KEY, course_name VARCHAR(100), instructor_name VARCHAR(100))

CREATE TABLE students (student_id INT PRIMARY KEY, student_name VARCHAR(100), student_grade INT)

CREATE TABLE enrollments (enrollment_id INT PRIMARY KEY, student_id INT, course_id INT, enrollment_date DATE)

CREATE TABLE instructors (instructor_id INT PRIMARY KEY, instructor_name VARCHAR(100), instructor_email VARCHAR(100))</t><s>drop table if exists students;</s>
<t>CREATE TABLE courses (course_id INT PRIMARY KEY, course_name VARCHAR(100), instructor_name VARCHAR(100))

CREATE TABLE students (student_id INT PRIMARY KEY, student_name VARCHAR(100), student_grade INT)

CREATE TABLE instructors (instructor_id INT PRIMARY KEY, instructor_name VARCHAR(100), instructor_email VARCHAR(100))

CREATE TABLE enrollments (enrollment_id INT PRIMARY KEY, student_id INT, course_id INT, enrollment_date DATE)</t><s>DROP TABLE IF EXISTS students;</s>
<t>CREATE TABLE courses (course_id INT PRIMARY KEY, course_name VARCHAR(100), instructor_name VARCHAR(100))

CREATE TABLE students (student_id INT PRIMARY KEY, student_name VARCHAR(100), student_grade INT)

CREATE TABLE instructors (instructor_id INT PRIMARY KEY, instructor_name VARCHAR(100), instructor_email VARCHAR(100))

CREATE TABLE enrollments (enrollment_id INT PRIMARY KEY, student_id INT, course_id INT, enrollment_date DATE)</t><s>drop table if exists students;</s>
<t>CREATE TABLE courses (course_id INT PRIMARY KEY, course_name VARCHAR(100), instructor_name VARCHAR(100))

CREATE TABLE enrollments (enrollment_id INT PRIMARY KEY, student_id INT, course_id INT, enrollment_date DATE)

CREATE TABLE students (student_id INT PRIMARY KEY, student_name VARCHAR(100), student_grade INT)

CREATE TABLE instructors (instructor_id INT PRIMARY KEY, instructor_name VARCHAR(100), instructor_email VARCHAR(100))</t><s>DROP TABLE IF EXISTS students;</s>
<t>CREATE TABLE courses (course_id INT PRIMARY KEY, course_name VARCHAR(100), instructor_name VARCHAR(100))

CREATE TABLE enrollments (enrollment_id INT PRIMARY KEY, student_id INT, course_id INT, enrollment_date DATE)

CREATE TABLE students (student_id INT PRIMARY KEY, student_name VARCHAR(100), student_grade INT)

CREATE TABLE instructors (instructor_id INT PRIMARY KEY, instructor_name VARCHAR(100), instructor_email VARCHAR(100))</t><s>drop table if exists students;</s>
<t>CREATE TABLE courses (course_id INT PRIMARY KEY, course_name VARCHAR(100), instructor_name VARCHAR(100))

CREATE TABLE enrollments (enrollment_id INT PRIMARY KEY, student_id INT, course_id INT, enrollment_date DATE)

CREATE TABLE instructors (instructor_id INT PRIMARY KEY, instructor_name VARCHAR(100), instructor_email VARCHAR(100))

CREATE TABLE students (student_id INT PRIMARY KEY, student_name VARCHAR(100), student_grade INT)</t><s>DROP TABLE IF EXISTS students;</s>
<t>CREATE TABLE courses (course_id INT PRIMARY KEY, course_name VARCHAR(100), instructor_name VARCHAR(100))

CREATE TABLE enrollments (enrollment_id INT PRIMARY KEY, student_id INT, course_id INT, enrollment_date DATE)

CREATE TABLE instructors (instructor_id INT PRIMARY KEY, instructor_name VARCHAR(100), instructor_email VARCHAR(100))

CREATE TABLE students (student_id INT PRIMARY KEY, student_name VARCHAR(100), student_grade INT)</t><s>drop table if exists students;</s>
<t>CREATE TABLE courses (course_id INT PRIMARY KEY, course_name VARCHAR(100), instructor_name VARCHAR(100))

CREATE TABLE instructors (instructor_id INT PRIMARY KEY, instructor_name VARCHAR(100), instructor_email VARCHAR(100))

CREATE TABLE students (student_id INT PRIMARY KEY, student_name VARCHAR(100), student_grade INT)

CREATE TABLE enrollments (enrollment_id INT PRIMARY KEY, student_id INT, course_id INT, enrollment_date DATE)</t><s>DROP TABLE IF EXISTS students;</s>
<t>CREATE TABLE courses (course_id INT PRIMARY KEY, course_name VARCHAR(100), instructor_name VARCHAR(100))

CREATE TABLE instructors (instructor_id INT PRIMARY KEY, instructor_name VARCHAR(100), instructor_email VARCHAR(100))

CREATE TABLE students (student_id INT PRIMARY KEY, student_name VARCHAR(100), student_grade INT)

CREATE TABLE enrollments (enrollment_id INT PRIMARY KEY, student_id INT, course_id INT, enrollment_date DATE)</t><s>drop table if exists students;</s>
<t>CREATE TABLE courses (course_id INT PRIMARY KEY, course_name VARCHAR(100), instructor_name VARCHAR(100))

CREATE TABLE instructors (instructor_id INT PRIMARY KEY, instructor_name VARCHAR(100), instructor_email VARCHAR(100))

CREATE TABLE enrollments (enrollment_id INT PRIMARY KEY, student_id INT, course_id INT, enrollment_date DATE)

CREATE TABLE students (student_id INT PRIMARY KEY, student_name VARCHAR(100), student_grade INT)</t><s>DROP TABLE IF EXISTS students;</s>
<t>CREATE TABLE courses (course_id INT PRIMARY KEY, course_name VARCHAR(100), instructor_name VARCHAR(100))

CREATE TABLE instructors (instructor_id INT PRIMARY KEY, instructor_name VARCHAR(100), instructor_email VARCHAR(100))

CREATE TABLE enrollments (enrollment_id INT PRIMARY KEY, student_id INT, course_id INT, enrollment_date DATE)

CREATE TABLE students (student_id INT PRIMARY KEY, student_name VARCHAR(100), student_grade INT)</t><s>drop table if exists students;</s>
<t>CREATE TABLE enrollments (enrollment_id INT PRIMARY KEY, student_id INT, course_id INT, enrollment_date DATE)

CREATE TABLE students (student_id INT PRIMARY KEY, student_name VARCHAR(100), student_grade INT)

CREATE TABLE courses (course_id INT PRIMARY KEY, course_name VARCHAR(100), instructor_name VARCHAR(100))

CREATE TABLE instructors (instructor_id INT PRIMARY KEY, instructor_name VARCHAR(100), instructor_email VARCHAR(100))</t><s>DROP TABLE IF EXISTS students;</s>
