<t>CREATE TABLE Entertainment (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(50), release_date DATE)</t><s>DELETE FROM Entertainment WHERE id = 1;</s>
CREATE TABLE movies (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(100), release_year INT);</t><s>delete from movies where id = 10;</s>
<t>CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)</t><s>DELETE FROM Movies WHERE id = 1</s>
<t>CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)</t><s>delete from movies where id = 1</s>
<t>CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>DELETE FROM Movies WHERE id = 1</s>
<t>CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>delete from movies where id = 1</s>
<t>CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)</t><s>DELETE FROM Movies WHERE id = 1</s>
<t>CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)</t><s>delete from movies where id = 1</s>
<t>CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>DELETE FROM Movies WHERE id = 1</s>
<t>CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>delete from movies where id = 1</s>
<t>CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>DELETE FROM Movies WHERE id = 1</s>
<t>CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>delete from movies where id = 1</s>
<t>CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>DELETE FROM Movies WHERE id = 1</s>
<t>CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>delete from movies where id = 1</s>
<t>CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)</t><s>DELETE FROM TVShows WHERE id = 2</s>
<t>CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)</t><s>delete from tvshows where id = 2</s>
<t>CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>DELETE FROM TVShows WHERE id = 2</s>
<t>CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>delete from tvshows where id = 2</s>
<t>CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)</t><s>DELETE FROM TVShows WHERE id = 2</s>
<t>CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)</t><s>delete from tvshows where id = 2</s>
<t>CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>DELETE FROM TVShows WHERE id = 2</s>
<t>CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>delete from tvshows where id = 2</s>
<t>CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>DELETE FROM TVShows WHERE id = 2</s>
<t>CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>delete from tvshows where id = 2</s>
<t>CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>DELETE FROM TVShows WHERE id = 2</s>
<t>CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>delete from tvshows where id = 2</s>
<t>CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)</t><s>DELETE FROM Actors WHERE id = 3</s>
<t>CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)</t><s>delete from actors where id = 3</s>
<t>CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>DELETE FROM Actors WHERE id = 3</s>
<t>CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>delete from actors where id = 3</s>
<t>CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)</t><s>DELETE FROM Actors WHERE id = 3</s>
<t>CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)</t><s>delete from actors where id = 3</s>
<t>CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>DELETE FROM Actors WHERE id = 3</s>
<t>CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>delete from actors where id = 3</s>
<t>CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>DELETE FROM Actors WHERE id = 3</s>
<t>CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>delete from actors where id = 3</s>
<t>CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>DELETE FROM Actors WHERE id = 3</s>
<t>CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>delete from actors where id = 3</s>
<t>CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);

CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);

CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));</t><s>DELETE FROM movies WHERE movie_id = 1;</s>
<t>CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);

CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);

CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));</t><s>delete from movies where movie_id = 1;</s>
<t>CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);

CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));

CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);</t><s>DELETE FROM movies WHERE movie_id = 1;</s>
<t>CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);

CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));

CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);</t><s>delete from movies where movie_id = 1;</s>
<t>CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);

CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);

CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));</t><s>DELETE FROM movies WHERE movie_id = 1;</s>
<t>CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);

CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);

CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));</t><s>delete from movies where movie_id = 1;</s>
<t>CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);

CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));

CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);</t><s>DELETE FROM movies WHERE movie_id = 1;</s>
<t>CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);

CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));

CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);</t><s>delete from movies where movie_id = 1;</s>
<t>CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));

CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);

CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);</t><s>DELETE FROM movies WHERE movie_id = 1;</s>
<t>CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));

CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);

CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);</t><s>delete from movies where movie_id = 1;</s>
<t>CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));

CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);

CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);</t><s>DELETE FROM movies WHERE movie_id = 1;</s>
<t>CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));

CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);

CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);</t><s>delete from movies where movie_id = 1;</s>
<t>CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);

CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);

CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));</t><s>DELETE FROM movies WHERE movie_id = 1;</s>
<t>CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);

CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);

CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));</t><s>delete from movies where movie_id = 1;</s>
<t>CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);

CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));

CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);</t><s>DELETE FROM movies WHERE movie_id = 1;</s>
<t>CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);

CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));

CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);</t><s>delete from movies where movie_id = 1;</s>
<t>CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);

CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);

CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));</t><s>DELETE FROM movies WHERE movie_id = 1;</s>
<t>CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);

CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);

CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));</t><s>delete from movies where movie_id = 1;</s>
<t>CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);

CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));

CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);</t><s>DELETE FROM movies WHERE movie_id = 1;</s>
<t>CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);

CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));

CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);</t><s>delete from movies where movie_id = 1;</s>
<t>CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));

CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);

CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);</t><s>DELETE FROM movies WHERE movie_id = 1;</s>
<t>CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));

CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);

CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);</t><s>delete from movies where movie_id = 1;</s>
<t>CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));

CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);

CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);</t><s>DELETE FROM movies WHERE movie_id = 1;</s>
<t>CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));

CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);

CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);</t><s>delete from movies where movie_id = 1;</s>
