<t>CREATE TABLE Entertainment (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(50), release_date DATE)</t><s>DROP TABLE Entertainment</s>
<t>CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>drop table movies</s>
<t>CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>DROP TABLE Movies</s>
<t>CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>drop table movies</s>
<t>CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)</t><s>DROP TABLE TVShows</s>
<t>CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)</t><s>drop table tvshows</s>
<t>CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>DROP TABLE TVShows</s>
<t>CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>drop table tvshows</s>
<t>CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)</t><s>DROP TABLE TVShows</s>
<t>CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)</t><s>drop table tvshows</s>
<t>CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>DROP TABLE TVShows</s>
<t>CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>drop table tvshows</s>
<t>CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>DROP TABLE TVShows</s>
<t>CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>drop table tvshows</s>
<t>CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>DROP TABLE TVShows</s>
<t>CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>drop table tvshows</s>
<t>CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)</t><s>DROP TABLE Actors</s>
<t>CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)</t><s>drop table actors</s>
<t>CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>DROP TABLE Actors</s>
<t>CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>drop table actors</s>
<t>CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)</t><s>DROP TABLE Actors</s>
<t>CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)</t><s>drop table actors</s>
<t>CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>DROP TABLE Actors</s>
<t>CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>drop table actors</s>
<t>CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>DROP TABLE Actors</s>
<t>CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>drop table actors</s>
<t>CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>DROP TABLE Actors</s>
<t>CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>drop table actors</s>
<t>CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);

CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);

CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));</t><s>DROP TABLE movies;</s>
<t>CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);

CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);

CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));</t><s>drop table movies;</s>
<t>CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);

CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));

CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);</t><s>DROP TABLE movies;</s>
<t>CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);

CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));

CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);</t><s>drop table movies;</s>
<t>CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);

CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);

CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));</t><s>DROP TABLE movies;</s>
<t>CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);

CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);

CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));</t><s>drop table movies;</s>
<t>CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);

CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));

CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);</t><s>DROP TABLE movies;</s>
<t>CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);

CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));

CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);</t><s>drop table movies;</s>
<t>CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));

CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);

CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);</t><s>DROP TABLE movies;</s>
<t>CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));

CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);

CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);</t><s>drop table movies;</s>
<t>CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));

CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);

CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);</t><s>DROP TABLE movies;</s>
<t>CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));

CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);

CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);</t><s>drop table movies;</s>
<t>CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);

CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);

CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));</t><s>DROP TABLE movies;</s>
<t>CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);

CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);

CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));</t><s>drop table movies;</s>
<t>CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);

CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));

CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);</t><s>DROP TABLE movies;</s>
<t>CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);

CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));

CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);</t><s>drop table movies;</s>
<t>CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);

CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);

CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));</t><s>DROP TABLE movies;</s>
<t>CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);

CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);

CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));</t><s>drop table movies;</s>
<t>CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);

CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));

CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);</t><s>DROP TABLE movies;</s>
<t>CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);

CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));

CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);</t><s>drop table movies;</s>
<t>CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));

CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);

CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);</t><s>DROP TABLE movies;</s>
<t>CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));

CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);

CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);</t><s>drop table movies;</s>
<t>CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));

CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);

CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);</t><s>DROP TABLE movies;</s>
<t>CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));

CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);

CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);</t><s>drop table movies;</s>
<t>CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);

CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);

CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));</t><s>DROP TABLE movies;</s>
<t>CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);

CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);

CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));</t><s>drop table movies;</s>
<t>CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);

CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));

CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);</t><s>DROP TABLE movies;</s>
<t>CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);

CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));

CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);</t><s>drop table movies;</s>
<t>CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);

CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);

CREATE TABLE movies (movie_id INT PRIMARY KEY, title VARCHAR, genre VARCHAR, release_date DATE);

CREATE TABLE movie_cast (movie_id INT, actor_id INT, character_name VARCHAR, PRIMARY KEY (movie_id, actor_id));</t><s>DROP TABLE movies;</s>
<t>CREATE TABLE directors (director_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE);

CREATE TABLE actors (actor_id INT PRIMARY KEY, first_name VARCHAR, last_name VARCHAR, dob DATE, gender VARCHAR);

